trans_date,trans_time,cc_num,merchant,category,trans_amt,name,gender,street,city,state,zip,dob,trans_number,is_fraud
01-01-2023,18:46:00,4.20502E+15,Apple Store,Entertainment,3896.59,John Jones,M,3374 Broadway,New York,NY,80481,01-01-1950,155465-7820,1
01-01-2023,14:20:00,4.37707E+15,Best Buy,Groceries,2507.14,Jane Wilson,F,8907 Broadway,Philadelphia,AZ,33781,02-01-1950,573448-2001,0
01-01-2023,21:34:00,4.51809E+15,Costco,Electronics,1822.34,Jane Wilson,F,3146 Market St,San Diego,GA,71232,03-01-1950,850116-3181,1
01-01-2023,18:50:00,4.04862E+15,Apple Store,Fashion,2163.05,Olivia Johnson,M,2325 Main St,Houston,GA,40711,04-01-1950,818285-1369,0
01-01-2023,18:15:00,4.97995E+15,Lyft,Transportation,1945.1,Sarah Williams,F,6030 2nd Ave,San Diego,CA,34543,05-01-1950,805374-4820,1
01-01-2023,17:24:00,4.62621E+15,Best Buy,Groceries,4800.12,Emily Brown,M,4165 2nd Ave,Chicago,FL,87525,06-01-1950,968041-5269,1
01-01-2023,02:01:00,4.1269E+15,Nike,Groceries,3841.61,James Wilson,M,1176 Market St,Philadelphia,TX,94952,07-01-1950,625621-1419,0
01-01-2023,07:46:00,4.98708E+15,Best Buy,Healthcare,1044.4,Olivia Wilson,M,9879 Broadway,Dallas,AZ,81602,08-01-1950,321480-8009,0
01-01-2023,20:38:00,4.82819E+15,Uber,Transportation,1924.02,Michael Williams,F,3572 Market St,New York,AZ,61407,09-01-1950,717282-7013,1
01-01-2023,05:30:00,4.72916E+15,Target,Healthcare,2722.34,Sarah Wilson,F,180 Main St,Houston,OH,51405,10-01-1950,297398-8338,0
01-01-2023,01:27:00,4.13149E+15,Walmart,Groceries,3066.86,Emily Wilson,M,7667 Main St,Los Angeles,CA,80045,11-01-1950,190428-3780,0
01-01-2023,23:16:00,4.93428E+15,Amazon,Electronics,2343.58,Sophia Davis,M,8 2nd Ave,San Jose,AZ,70214,12-01-1950,771424-6634,1
01-01-2023,18:43:00,4.00535E+15,Best Buy,Entertainment,4051.58,David Wilson,M,5777 Main St,San Diego,TX,50171,13-01-1950,230125-8370,0
01-01-2023,14:31:00,4.48165E+15,Adidas,Entertainment,3839.19,Sarah Brown,F,2888 Broadway,Phoenix,NY,56121,14-01-1950,688820-9335,0
01-01-2023,02:10:00,4.11868E+15,Uber,Entertainment,2528.26,Sophia Brown,M,6750 Broadway,Phoenix,NY,76690,15-01-1950,105869-1829,0
01-01-2023,22:12:00,4.8073E+15,Target,Electronics,4272.87,Robert Brown,F,7897 Market St,Houston,OH,47566,16-01-1950,983259-3674,0
01-01-2023,12:49:00,4.99772E+15,Nike,Healthcare,3756.69,John Moore,M,973 Market St,Philadelphia,CA,38581,17-01-1950,824360-3806,0
01-01-2023,05:43:00,4.24989E+15,Costco,Groceries,3894.02,James Brown,F,6794 Market St,San Diego,GA,95772,18-01-1950,152801-8065,0
01-01-2023,23:57:00,4.98335E+15,Nike,Groceries,4782.22,Michael Williams,F,5276 Main St,San Jose,GA,64003,19-01-1950,901129-4394,0
01-01-2023,13:25:00,4.73367E+15,Best Buy,Entertainment,1336,James Miller,F,7468 Broadway,Chicago,FL,32919,20-01-1950,633774-9722,0
01-01-2023,06:25:00,4.23904E+15,Apple Store,Groceries,1341.9,Olivia Davis,F,4607 Broadway,Phoenix,PA,24396,21-01-1950,877960-9717,0
01-01-2023,20:15:00,4.982E+15,Adidas,Fashion,4445.32,Robert Brown,F,7005 Broadway,San Jose,AZ,70061,22-01-1950,584494-3110,0
01-01-2023,15:55:00,4.25169E+15,Lyft,Entertainment,3862.27,Michael Brown,F,5653 2nd Ave,Dallas,FL,29249,23-01-1950,516554-3730,1
01-01-2023,04:36:00,4.62586E+15,Lyft,Electronics,4633.09,Emily Brown,M,5003 2nd Ave,Philadelphia,FL,15188,24-01-1950,519456-6251,1
